doi,title,first_author,year,journal,source,file,oa_status,added_by,added_at
10.3389/fcell.2024.1378548,We need to talk—how muscle stem cells communicate,Karolina Majchrzak,2024,Frontiers in Cell and Developmental Biology,hargreaves2020,2024_Karolina-Majchrzak_W4400512464.pdf,gold,team,2026-06-05
10.1016/j.molmet.2024.102081,Exercise-induced methylation of the Serhl2 promoter and implication for lipid metabolism in rat skeletal muscle,Mutsumi Katayama,2024,Molecular Metabolism,hargreaves2020,2024_Katayama_W4405152528.pdf,gold,team,2026-06-05
10.1093/eurjpc/zwae316,Can incidental physical activity offset the deleterious associations of sedentary behaviour with major adverse cardiovascular events?,Nicholas A. Koemel,2024,European Journal of Preventive Cardiology,hargreaves2020,2024_Koemel_W4402897678.pdf,hybrid,team,2026-06-05
10.1242/jeb.247284,Does sex matter in the cheetah? Insights into the skeletal muscle of the fastest land animal,Tertius A. Kohn,2024,Journal of Experimental Biology,hargreaves2020,2024_Kohn_W4400780483.pdf,hybrid,team,2026-06-05
10.3390/app14093677,Repetition of the Exhaustive Wrestling-Specific Test Leads to More Effective Differentiation between Quality Categories of Youth Wrestlers,Kreso Skugor,2024,Applied Sciences,hargreaves2020,2024_Kreso-Skugor_W4395667248.pdf,gold,team,2026-06-05
10.3390/ijms25126480,Mechanisms Underlying the Rarity of Skeletal Muscle Cancers,David S. Kump,2024,International Journal of Molecular Sciences,hargreaves2020,2024_Kump_W4399582954.pdf,gold,team,2026-06-05
10.1002/pul2.70009,The metabolic and physiologic impairments underlying long COVID associated exercise intolerance,Brooks P. Leitner,2024,Pulmonary Circulation,hargreaves2020,2024_Leitner_W4404365285.pdf,gold,team,2026-06-05
10.1186/s12576-024-00902-x,The role of GPR81–cAMP–PKA pathway in endurance training-induced intramuscular triglyceride accumulation and mitochondrial content changes in rats,Lin Li,2024,The Journal of Physiological Sciences,hargreaves2020,2024_Lin-Li_W4391648308.pdf,gold,team,2026-06-05
10.21203/rs.3.rs-3867242/v1,"Dietary sucrose, sucralose and probiotic sweetener isomaltooligosaccharide divergently affect exercise induced weight loss and its associated skeletal muscle metabolism",Lin Shi,2024,Research Square,hargreaves2020,2024_Lin-Shi_W4391841807.pdf,green,team,2026-06-05
10.14814/phy2.16171,Exercise‐induced changes in intramuscular total creatine concentration measured with <scp><sup>1</sup>H</scp> magnetic resonance spectroscopy: A pilot study,Xi Lin,2024,Physiological Reports,hargreaves2020,2024_Lin_W4401304394.pdf,gold,team,2026-06-05
